Station,Region,N,Slope,Z,p-value
Bogra,NW,66,2.2,0.7969109879141857,0.42550272894170194
Comilla,Central,64,-11.33718487394958,-3.146042447515767,0.001654959848219839
Cox's Bazar,Coastal,66,-0.7878787878787878,-0.2877734123023449,0.7735201907399047
Dinajpur,NW,58,6.444444444444445,1.663580509771826,0.09619628948781256
Faridpur,Central,66,-4.962264150943396,-1.6602820739100523,0.09685772023699535
Jessore,Coastal,65,5.214439655172414,2.191096520477,0.028444808480664774
Khulna,Coastal,63,7.5,2.787612114242011,0.005309807768650421
Mymensingh,NE,65,3.229020979020979,0.7812836742318002,0.4346356699565763
Satkhira,Coastal,64,3.5486111111111107,1.4774728459345763,0.1395489318970471
Srimangal,NE,65,-1.255,-0.3623344576147479,0.7171021115945009
Barisal,Coastal,63,-1.2,-0.32027883865759277,0.7487569632600206
Chittagong,Coastal,61,2.0344827586206895,0.47295067624287906,0.6362483691685137
M.court,Coastal,61,1.1303827751196174,0.2613674789763279,0.7938091336242745
Dhaka,Central,60,-0.3578431372549019,-0.0701600624824534,0.9440662614796067
Rangpur,NW,58,7.444444444444445,1.8379881438608077,0.06606415238553187
Sylhet,NE,57,8.006914893617022,1.3148151444087641,0.18857203643119314
Rangamati,Coastal,55,8.676470588235293,1.5825797388365686,0.11351728455021748
Ishurdi,NW,53,0.6889920424403183,0.1534306079202831,0.8780587090113314
Chandpur,Central,45,4.779310344827586,0.723926300756624,0.469110982230299
Rajshahi,NW,48,-6.621428571428572,-1.8042721929347574,0.07118864675796477
Bhola,Coastal,48,-7.804621848739496,-1.26215158526238,0.20689424611158058
Hatiya,Coastal,42,22.545454545454547,2.2758517599383703,0.022854883584979113
Sandwip,Coastal,46,14.952380952380953,1.6476061227194752,0.0994335232048369
Feni,Coastal,41,6.510057471264368,0.6065629207063977,0.5441410137967475
Patuakhali,Coastal,39,1.1428571428571428,0.2177437056499637,0.8276288084144703
Khepupara,Coastal,40,16.04864253393665,2.5167942940528896,0.011842794998183193
Kutubdia,Coastal,32,31.069444444444443,1.8000262971431091,0.07185648599690286
Madaripur,Central,36,-9.791666666666668,-1.7843371313024654,0.07436890009945407
Sitakunda,Coastal,37,11.396321070234114,0.8501272771022874,0.3952543278515894
Teknaf,Coastal,37,33.22083333333333,3.0996948411268015,0.001937201167406366
Tangail,Central,27,-8.4375,-1.167426957830233,0.24303798973120738
chuadanga,NW,25,1.3625,0.21019471492361122,0.8335157043083457
Mongla,Coastal,23,-0.5714285714285714,-0.05282091276998584,0.9578745987779058
sydpur,NW,23,-7.4,-0.36974638938990084,0.7115714636761059
