Year,sst,National_Avg_Monsoon_Rainfall
1948,28.396252,1397.3
1949,28.391565,1636.4545454545455
1950,28.082428,1629.5833333333333
1951,28.34293,1506.923076923077
1952,28.189959,1676.5833333333333
1953,28.296204,1772.857142857143
1954,28.231037,1779.6
1955,28.247704,1803.6153846153843
1956,27.933006,1965.8666666666663
1957,28.62089,1277.9411764705883
1958,28.538181,1213.8823529411766
1959,28.402868,1716.8235294117646
1960,28.42656,1602.8235294117646
1961,28.075066,1582.2222222222222
1962,28.318855,1383.6666666666667
1963,28.277927,1647.235294117647
1964,28.454073,1693.85
1965,28.345268,2004.157894736842
1966,28.548462,1554.5217391304348
1967,28.422642,1494.095238095238
1968,28.382433,1775.2
1969,28.739414,1833.3636363636365
1970,28.88018,1731.6818181818182
1971,28.357872,1618.090909090909
1972,28.55011,1145.571428571429
1973,28.708736,1363.2608695652175
1974,28.574387,1900.7727272727277
1975,28.450901,1340.695652173913
1976,28.677374,1890.5833333333333
1977,28.796215,1630.321428571429
1978,28.48946,1721.24
1979,28.908245,1561.607142857143
1980,28.969,1290.4444444444443
1981,28.567024,1598.6296296296296
1982,28.834005,1942.2758620689656
1983,29.14864,1767.344827586207
1984,28.526243,2170.620689655173
1985,28.60749,1698.5333333333333
1986,28.720499,1772.7333333333331
1987,29.191431,2166.709677419354
1988,29.258804,1920.1290322580649
1989,28.730442,1466.65625
1990,28.820553,1658.15625
1991,29.082413,1957.0882352941176
1992,28.694098,1373.1470588235295
1993,29.05628,1841.558823529412
1994,28.411743,1345.9411764705883
1995,28.824707,1776.2727272727273
1996,28.853527,1575.909090909091
1997,28.929476,1812.939393939394
1998,29.333588,1891.939393939394
1999,28.61013,2031.1142857142856
2000,28.750761,1658.4857142857145
2001,28.971012,1713.9714285714283
2002,29.151031,1954.5428571428567
2003,29.072481,1591.8235294117646
2004,28.819702,2214.323529411765
2005,28.990091,1695.029411764706
2006,28.957083,1561.6176470588234
2007,29.09836,2078.058823529412
2008,28.89722,1829.2285714285715
2009,29.15901,1678.3428571428572
2010,29.280586,1434.2
2011,28.923447,2229.0
2012,28.752144,1681.7714285714285
2013,28.765362,1491.8285714285714
2014,29.168348,570.2857142857143
